,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
2451,2020-10-20,RI,302,7409,135.0,1164.0,5,28649.0,4.076123633418815,4.062969039058955,0.4062969039058955
2452,2020-10-20,SC,884,9722,697.0,3696.0,35,165493.0,9.092779263526024,2.2333270893632964,0.22333270893632964
2453,2020-10-20,SD,621,2276,329.0,330.0,7,34457.0,27.284710017574692,0.9577154134138202,0.09577154134138202
2454,2020-10-20,TN,1508,13344,1424.0,2952.0,30,233569.0,11.30095923261391,1.2638663521272087,0.12638663521272087
2455,2020-10-20,TX,7884,60283,4588.0,17087.0,65,833557.0,13.07831395252393,2.04988980957511,0.204988980957511
2456,2020-10-20,UT,1081,8322,311.0,551.0,5,96643.0,12.989665945686133,0.5701395858986166,0.05701395858986165
2457,2020-10-20,VA,926,13829,937.0,3485.0,28,167754.0,6.696073468797454,2.0774467374846504,0.20774467374846503
2458,2020-10-20,VI,0,0,,21.0,0,1335.0,,1.5730337078651686,0.15730337078651685
2459,2020-10-20,VT,20,875,0.0,58.0,0,1983.0,2.2857142857142856,2.924861321230459,0.29248613212304586
2460,2020-10-20,WA,460,13551,289.0,2258.0,19,98661.0,3.394583425577448,2.2886449559603084,0.22886449559603086
2461,2020-10-20,WI,4686,15330,1192.0,1652.0,35,187828.0,30.56751467710372,0.8795280788806781,0.08795280788806781
2462,2020-10-20,WV,226,3819,191.0,408.0,9,20519.0,5.917779523435454,1.9884009942004972,0.1988400994200497
2463,2020-10-20,WY,215,4982,66.0,61.0,4,9526.0,4.315535929345645,0.6403527188746588,0.06403527188746588
2464,2020-10-19,AK,204,3512,65.0,67.0,0,11225.0,5.808656036446469,0.5968819599109132,0.05968819599109132
2465,2020-10-19,AL,859,6204,859.0,2789.0,1,173485.0,13.845905867182463,1.6076317837276997,0.16076317837276996
2466,2020-10-19,AR,531,7970,604.0,1714.0,10,99597.0,6.662484316185696,1.720935369539243,0.17209353695392432
2467,2020-10-19,AS,0,0,,0.0,0,0.0,,,
2468,2020-10-19,AZ,748,8762,721.0,5830.0,3,231897.0,8.536863729742068,2.514047184741502,0.2514047184741502
2469,2020-10-19,CA,3474,150346,3002.0,16970.0,27,870791.0,2.3106700544078325,1.9488028700342563,0.1948802870034256
2470,2020-10-19,CO,1072,19137,465.0,2051.0,9,86374.0,5.601713957255578,2.374557158404149,0.23745571584041494
2471,2020-10-19,CT,1191,71964,195.0,4554.0,12,64021.0,1.654994163748541,7.1132909514065705,0.7113290951406569
2472,2020-10-19,DC,25,2235,84.0,641.0,0,16395.0,1.1185682326621924,3.9097285757853006,0.39097285757853
2473,2020-10-19,DE,103,6458,107.0,666.0,1,23196.0,1.5949210281820996,2.8711846870150026,0.28711846870150026
